state,sector,week,MtCO2 per week
Anhui,Aviation,2022-09-26/2022-10-02,0.039231709999999996
Anhui,Aviation,2022-10-03/2022-10-09,0.03128024
Anhui,Aviation,2022-10-10/2022-10-16,0.02566417
Anhui,Aviation,2022-10-17/2022-10-23,0.02349737
Anhui,Aviation,2022-10-24/2022-10-30,0.02607426
Anhui,Aviation,2022-10-31/2022-11-06,0.02491148
Anhui,Aviation,2022-11-07/2022-11-13,0.02426195
Anhui,Aviation,2022-11-14/2022-11-20,0.02475826
Anhui,Aviation,2022-11-21/2022-11-27,0.02301559
Anhui,Aviation,2022-11-28/2022-12-04,0.018188
Anhui,Aviation,2022-12-05/2022-12-11,0.024491640000000002
Anhui,Aviation,2022-12-12/2022-12-18,0.03203664
Anhui,Aviation,2022-12-19/2022-12-25,0.02531673
Anhui,Aviation,2022-12-26/2023-01-01,0.02992398
Anhui,Aviation,2023-01-02/2023-01-08,0.03950219
Anhui,Aviation,2023-01-09/2023-01-15,0.04961454
Anhui,Aviation,2023-01-16/2023-01-22,0.04900629
Anhui,Aviation,2023-01-23/2023-01-29,0.05079935
Anhui,Aviation,2023-01-30/2023-02-05,0.05346523
Anhui,Aviation,2023-02-06/2023-02-12,0.055049139999999996
Anhui,Aviation,2023-02-13/2023-02-19,0.05404182
Anhui,Aviation,2023-02-20/2023-02-26,0.05402448
Anhui,Aviation,2023-02-27/2023-03-05,0.0538591
Anhui,Aviation,2023-03-06/2023-03-12,0.053295590000000004
Anhui,Aviation,2023-03-13/2023-03-19,0.055173230000000004
Anhui,Aviation,2023-03-20/2023-03-26,0.05513181
Anhui,Aviation,2023-03-27/2023-04-02,0.05766729
Anhui,Aviation,2023-04-03/2023-04-09,0.05685255
Anhui,Aviation,2023-04-10/2023-04-16,0.06069022
Anhui,Aviation,2023-04-17/2023-04-23,0.058566889999999996
Anhui,Aviation,2023-04-24/2023-04-30,0.059345419999999996
Anhui,Aviation,2023-05-01/2023-05-07,0.0568519
Anhui,Aviation,2023-05-08/2023-05-14,0.057962150000000004
Anhui,Aviation,2023-05-15/2023-05-21,0.05708332
Anhui,Aviation,2023-05-22/2023-05-28,0.05708029
Anhui,Aviation,2023-05-29/2023-06-04,0.055437650000000005
Anhui,Aviation,2023-06-05/2023-06-11,0.05473901
Anhui,Aviation,2023-06-12/2023-06-18,0.0581688
Anhui,Aviation,2023-06-19/2023-06-25,0.059597950000000004
Anhui,Aviation,2023-06-26/2023-07-02,0.06049187
Anhui,Aviation,2023-07-03/2023-07-09,0.06123332
Anhui,Aviation,2023-07-10/2023-07-16,0.06264741
Anhui,Aviation,2023-07-17/2023-07-23,0.06573038
Anhui,Aviation,2023-07-24/2023-07-30,0.06834614
Anhui,Aviation,2023-07-31/2023-08-06,0.06981899999999999
Anhui,Aviation,2023-08-07/2023-08-13,0.07009173
Anhui,Aviation,2023-08-14/2023-08-20,0.06997741
Anhui,Aviation,2023-08-21/2023-08-27,0.06921446
Anhui,Aviation,2023-08-28/2023-09-03,0.06409948
Anhui,Aviation,2023-09-04/2023-09-10,0.06306121
Anhui,Aviation,2023-09-11/2023-09-17,0.06371302
Anhui,Aviation,2023-09-18/2023-09-24,0.06431794
Anhui,Aviation,2023-09-25/2023-10-01,0.06887336
Anhui,Aviation,2023-10-02/2023-10-08,0.06689281
Anhui,Aviation,2023-10-09/2023-10-15,0.06135785
Anhui,Aviation,2023-10-16/2023-10-22,0.06210038
Anhui,Aviation,2023-10-23/2023-10-29,0.06142515
Anhui,Aviation,2023-10-30/2023-11-05,0.06159439
Anhui,Aviation,2023-11-06/2023-11-12,0.06116093
Anhui,Aviation,2023-11-13/2023-11-19,0.06336468
Anhui,Aviation,2023-11-20/2023-11-26,0.06325281
Anhui,Aviation,2023-11-27/2023-12-03,0.06391069
Anhui,Aviation,2023-12-04/2023-12-10,0.06376779
Anhui,Aviation,2023-12-11/2023-12-17,0.061993129999999994
Anhui,Aviation,2023-12-18/2023-12-24,0.06543303
Anhui,Aviation,2023-12-25/2023-12-31,0.06580669
Anhui,Aviation,2024-01-01/2024-01-07,0.06569418
Anhui,Aviation,2024-01-08/2024-01-14,0.06803959
Anhui,Aviation,2024-01-15/2024-01-21,0.07065296
Anhui,Aviation,2024-01-22/2024-01-28,0.0739196
Anhui,Aviation,2024-01-29/2024-02-04,0.0758393
Anhui,Aviation,2024-02-05/2024-02-11,0.07446869
Anhui,Aviation,2024-02-12/2024-02-18,0.0754117
Anhui,Aviation,2024-02-19/2024-02-25,0.073606
Anhui,Aviation,2024-02-26/2024-03-03,0.0734033
Anhui,Aviation,2024-03-04/2024-03-10,0.06843697
Anhui,Aviation,2024-03-11/2024-03-17,0.06812001
Anhui,Aviation,2024-03-18/2024-03-24,0.06991995
Anhui,Aviation,2024-03-25/2024-03-31,0.07059213
Anhui,Aviation,2024-04-01/2024-04-07,0.06702562
Anhui,Aviation,2024-04-08/2024-04-14,0.07002716
Anhui,Aviation,2024-04-15/2024-04-21,0.06788911
Anhui,Aviation,2024-04-22/2024-04-28,0.06951271
Anhui,Aviation,2024-04-29/2024-05-05,0.07188997
